#SAMPLE	BIOSAMPLE	STUDY	ENVIRONMENT	SOURCE_SAMPLE_LINK
ACIN21-1_SAMN05422152_METAG	SAMN05422152	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422152/
ACIN21-1_SAMN05422153_METAG	SAMN05422153	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422153/
ACIN21-1_SAMN05422158_METAG	SAMN05422158	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422158/
ACIN21-1_SAMN05422160_METAG	SAMN05422160	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422160/
ACIN21-1_SAMN05422163_METAG	SAMN05422163	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422163/
ACIN21-1_SAMN05422164_METAG	SAMN05422164	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422164/
ACIN21-1_SAMN05422165_METAG	SAMN05422165	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422165/
ACIN21-1_SAMN05422166_METAG	SAMN05422166	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422166/
ACIN21-1_SAMN05422168_METAG	SAMN05422168	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422168/
ACIN21-1_SAMN05422169_METAG	SAMN05422169	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422169/
ACIN21-1_SAMN05422170_METAG	SAMN05422170	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422170/
ACIN21-1_SAMN05422171_METAG	SAMN05422171	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422171/
ACIN21-1_SAMN05422175_METAG	SAMN05422175	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422175/
ACIN21-1_SAMN05422183_METAG	SAMN05422183	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422183/
