genome	assembly_accession	biosample	canonical_attribute	attribute_name	attribute_value
RSGB23-1_GCA-000147675-V2_GENO_10000001	GCA_000147675.2	SAMN00008344	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000147675-V2_GENO_10000001	GCA_000147675.2	SAMN00008344	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000147675-V2_GENO_10000001	GCA_000147675.2	SAMN00008344	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000147675-V2_GENO_10000001	GCA_000147675.2	SAMN00008344	host	host	Homo sapiens
RSGB23-1_GCA-000148525-V2_GENO_10000001	GCA_000148525.2	SAMN00001434	host	host	Homo sapiens
RSGB23-1_GCA-000148525-V2_GENO_10000001	GCA_000148525.2	SAMN00001434	isolation_source	isolation_source	mouth
RSGB23-1_GCA-000148545-V2_GENO_10000001	GCA_000148545.2	SAMN00001435	host	host	Homo sapiens
RSGB23-1_GCA-000148545-V2_GENO_10000001	GCA_000148545.2	SAMN00001435	isolation_source	isolation_source	mouth
RSGB23-1_GCA-000165125-V2_GENO_10000001	GCA_000165125.2	SAMN02952911	host	host	Scleritoderma cyanea
RSGB23-1_GCA-000165715-V3_GENO_10000001	GCA_000165715.3	SAMN00103628	environment	environment	Fresh water, Marine
RSGB23-1_GCA-000165715-V3_GENO_10000001	GCA_000165715.3	SAMN00103628	isolation_site	Isolation Site	Water from salt pit, Lagoa Vermelha, Brazil
RSGB23-1_GCA-000165715-V3_GENO_10000001	GCA_000165715.3	SAMN00103628	isolation_source	isolation_source	water from a salt pit
RSGB23-1_GCA-000166195-V3_GENO_10000001	GCA_000166195.3	SAMN02256535	environment	environment	Rice paddies
RSGB23-1_GCA-000166195-V3_GENO_10000001	GCA_000166195.3	SAMN02256535	isolation_source	isolation_source	sample collected from 10-20 cm below the surface of the the acidic Sphagnum peat bog Bakchar
RSGB23-1_GCA-000184345-V2_GENO_10000001	GCA_000184345.2	SAMN00191235	environment	environment	Marine, Hot spring
RSGB23-1_GCA-000184345-V2_GENO_10000001	GCA_000184345.2	SAMN00191235	isolation_site	Isolation Site	Marine hot spring; USSR, Shiashkoten island
RSGB23-1_GCA-000184345-V2_GENO_10000001	GCA_000184345.2	SAMN00191235	isolation_source	isolation_source	marine hot spring
RSGB23-1_GCA-000186705-V2_GENO_10000001	GCA_000186705.2	SAMN02471021	isolation_source	isolation_source	upper water in South China Sea
RSGB23-1_GCA-000189775-V3_GENO_10000001	GCA_000189775.3	SAMN00204087	environment	environment	Fresh water, Sediment
RSGB23-1_GCA-000189775-V3_GENO_10000001	GCA_000189775.3	SAMN00204087	isolation_site	Isolation Site	Frying Pan Springs (thermal spring)
RSGB23-1_GCA-000189775-V3_GENO_10000001	GCA_000189775.3	SAMN00204087	isolation_source	isolation_source	Frying Pan Springs (thermal spring)
RSGB23-1_GCA-000190735-V2_GENO_10000001	GCA_000190735.2	SAMN00103626	environment	environment	Marine
RSGB23-1_GCA-000190735-V2_GENO_10000001	GCA_000190735.2	SAMN00103626	isolation_site	Isolation Site	Soil, Iceland
RSGB23-1_GCA-000190735-V2_GENO_10000001	GCA_000190735.2	SAMN00103626	isolation_source	isolation_source	soil
RSGB23-1_GCA-000193225-V2_GENO_10000001	GCA_000193225.2	SAMN02393706	host	host	Aporrectodea tuberculata
RSGB23-1_GCA-000193225-V2_GENO_10000001	GCA_000193225.2	SAMN02393706	isolation_source	isolation_source	nephridia of a Aporrectodea tuberculata specimen
RSGB23-1_GCA-000211855-V3_GENO_10000001	GCA_000211855.3	SAMN00713635	environment	environment	Sea water
RSGB23-1_GCA-000211855-V3_GENO_10000001	GCA_000211855.3	SAMN00713635	isolation_site	Isolation Site	deep sea
RSGB23-1_GCA-000211855-V3_GENO_10000001	GCA_000211855.3	SAMN00713635	isolation_source	isolation_source	deep sea
RSGB23-1_GCA-000213355-V2_GENO_10000001	GCA_000213355.2	SAMN00260149	isolation_site	Isolation Site	North Pacific Sub-Tropical Gyre (Hawaii Ocean Time-series (HOT) station ALOHA)
RSGB23-1_GCA-000213355-V2_GENO_10000001	GCA_000213355.2	SAMN00260149	isolation_source	isolation_source	North Pacific sub-tropical gyre (Hawaii Ocean Time-series (HOT) station ALOHA)
RSGB23-1_GCA-000213355-V2_GENO_10000001	GCA_000213355.2	SAMN00260149	isolation_source	isolation_source	Seawater
RSGB23-1_GCA-000213395-V2_GENO_10000001	GCA_000213395.2	SAMN00260145	isolation_site	Isolation Site	South Altlantic Sub-Tropical Gyre (station KN192-5-11)
RSGB23-1_GCA-000213395-V2_GENO_10000001	GCA_000213395.2	SAMN00260145	isolation_source	isolation_source	Seawater
RSGB23-1_GCA-000213395-V2_GENO_10000001	GCA_000213395.2	SAMN00260145	isolation_source	isolation_source	South Atlantic sub-tropical gyre (station KN192-5-11)
RSGB23-1_GCA-000214475-V2_GENO_10000001	GCA_000214475.2	SAMN00031761	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000214475-V2_GENO_10000001	GCA_000214475.2	SAMN00031761	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000214475-V2_GENO_10000001	GCA_000214475.2	SAMN00031761	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000214475-V2_GENO_10000001	GCA_000214475.2	SAMN00031761	host	host	Homo sapiens
RSGB23-1_GCA-000215935-V3_GENO_10000001	GCA_000215935.3	SAMN02472186	isolation_source	isolation_source	sediment-brine interface of the Shaban Deep in the Red Sea
RSGB23-1_GCA-000215955-V3_GENO_10000001	GCA_000215955.3	SAMN02472183	isolation_source	isolation_source	brine-seawater interface of the Shaban Deep in the Red Sea
RSGB23-1_GCA-000217955-V4_GENO_10000001	GCA_000217955.4	SAMN02471959	isolation_source	isolation_source	Genetically modified
RSGB23-1_GCA-000218485-V2_GENO_10000001	GCA_000218485.2	SAMN02470930	isolation_source	isolation_source	surface of seaweed
RSGB23-1_GCA-000219125-V2_GENO_10000001	GCA_000219125.2	SAMN02469409	host	host	termite
RSGB23-1_GCA-000219125-V2_GENO_10000001	GCA_000219125.2	SAMN02469409	isolation_source	isolation_source	termite hindgut
RSGB23-1_GCA-000220085-V2_GENO_10000001	GCA_000220085.2	SAMN00621705	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000220085-V2_GENO_10000001	GCA_000220085.2	SAMN00621705	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000220085-V2_GENO_10000001	GCA_000220085.2	SAMN00621705	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000220085-V2_GENO_10000001	GCA_000220085.2	SAMN00621705	host	host	Homo sapiens
RSGB23-1_GCA-000222025-V2_GENO_10000001	GCA_000222025.2	SAMN02952884	host	host	Homo sapiens
RSGB23-1_GCA-000222025-V2_GENO_10000001	GCA_000222025.2	SAMN02952884	isolation_source	isolation_source	OP swab
RSGB23-1_GCA-000222045-V2_GENO_10000001	GCA_000222045.2	SAMN02952885	host	host	Homo sapiens
RSGB23-1_GCA-000222045-V2_GENO_10000001	GCA_000222045.2	SAMN02952885	isolation_source	isolation_source	blood
RSGB23-1_GCA-000222065-V2_GENO_10000001	GCA_000222065.2	SAMN02952886	host	host	Homo sapiens
RSGB23-1_GCA-000222065-V2_GENO_10000001	GCA_000222065.2	SAMN02952886	isolation_source	isolation_source	knee fluid
RSGB23-1_GCA-000222705-V2_GENO_10000001	GCA_000222705.2	SAMN00621712	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000222705-V2_GENO_10000001	GCA_000222705.2	SAMN00621712	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000222705-V2_GENO_10000001	GCA_000222705.2	SAMN00621712	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000222705-V2_GENO_10000001	GCA_000222705.2	SAMN00621712	host	host	Homo sapiens
RSGB23-1_GCA-000222725-V2_GENO_10000001	GCA_000222725.2	SAMN00621706	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000222725-V2_GENO_10000001	GCA_000222725.2	SAMN00621706	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000222725-V2_GENO_10000001	GCA_000222725.2	SAMN00621706	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000222725-V2_GENO_10000001	GCA_000222725.2	SAMN00621706	host	host	Homo sapiens
RSGB23-1_GCA-000223255-V2_GENO_10000001	GCA_000223255.2	SAMN00621709	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000223255-V2_GENO_10000001	GCA_000223255.2	SAMN00621709	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000223255-V2_GENO_10000001	GCA_000223255.2	SAMN00621709	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000223255-V2_GENO_10000001	GCA_000223255.2	SAMN00621709	host	host	Homo sapiens
RSGB23-1_GCA-000223315-V2_GENO_10000001	GCA_000223315.2	SAMN00195327	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000223315-V2_GENO_10000001	GCA_000223315.2	SAMN00195327	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000223315-V2_GENO_10000001	GCA_000223315.2	SAMN00195327	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000223315-V2_GENO_10000001	GCA_000223315.2	SAMN00195327	host	host	Homo sapiens
RSGB23-1_GCA-000223985-V2_GENO_10000001	GCA_000223985.2	SAMN02261407	isolation_source	isolation_source	different brackish to marine sediments in the Mediterranean Sea, the White Sea and the Black Sea
RSGB23-1_GCA-000224065-V2_GENO_10000001	GCA_000224065.2	SAMN02256531	environment	environment	Marine, Mat
RSGB23-1_GCA-000224065-V2_GENO_10000001	GCA_000224065.2	SAMN02256531	isolation_source	isolation_source	marine microbial mat sampled in Great Sippewissett Salt Marsh at the Atlantic coast (Woods Hole, Mass., USA).
RSGB23-1_GCA-000224335-V2_GENO_10000001	GCA_000224335.2	SAMN02469766	isolation_source	isolation_source	surface marine water in Antarctica
RSGB23-1_GCA-000225525-V2_GENO_10000001	GCA_000225525.2	SAMN02471576	isolation_source	isolation_source	soil from a zinc and copper mine
RSGB23-1_GCA-000225825-V2_GENO_10000001	GCA_000225825.2	SAMN02470219	isolation_source	isolation_source	isolated from salt-fermented seafood
RSGB23-1_GCA-000226215-V2_GENO_10000001	GCA_000226215.2	SAMN02470218	isolation_source	isolation_source	traditional Korean food
RSGB23-1_GCA-000227725-V3_GENO_10000001	GCA_000227725.3	SAMN02441807	environment	environment	Fresh water
RSGB23-1_GCA-000227725-V3_GENO_10000001	GCA_000227725.3	SAMN02441807	isolation_site	Isolation Site	Lake Malyi Kasytui, a shallow soda reservoir, Chita region, Siberia, Russia, 1996
RSGB23-1_GCA-000227725-V3_GENO_10000001	GCA_000227725.3	SAMN02441807	isolation_source	isolation_source	Lake Malyi Kasytui, a shallow soda reservoir
RSGB23-1_GCA-000227745-V3_GENO_10000001	GCA_000227745.3	SAMN02232062	isolation_site	Isolation Site	Brackish pond
RSGB23-1_GCA-000227745-V3_GENO_10000001	GCA_000227745.3	SAMN02232062	isolation_source	isolation_source	brackish pond
RSGB23-1_GCA-000228725-V3_GENO_10000001	GCA_000228725.3	SAMN02261404	environment	environment	Mat, Marine
RSGB23-1_GCA-000228725-V3_GENO_10000001	GCA_000228725.3	SAMN02261404	isolation_source	isolation_source	marine microbial mat from the North Sea island of Mellum
RSGB23-1_GCA-000230895-V3_GENO_10000001	GCA_000230895.3	SAMN02261383	environment	environment	Creosote-contaminated soil, Soil
RSGB23-1_GCA-000230895-V3_GENO_10000001	GCA_000230895.3	SAMN02261383	isolation_source	isolation_source	Estuarine sediment from Garrison Point, Georges Hall, Sydney, Australia
RSGB23-1_GCA-000230935-V2_GENO_10000001	GCA_000230935.2	SAMN02256528	environment	environment	Aquifer sediment contaminated with organochlorines
RSGB23-1_GCA-000230955-V3_GENO_10000001	GCA_000230955.3	SAMN02261380	environment	environment	Fresh water, Ponds
RSGB23-1_GCA-000231385-V3_GENO_10000001	GCA_000231385.3	SAMN02261405	environment	environment	Groundwater
RSGB23-1_GCA-000231385-V3_GENO_10000001	GCA_000231385.3	SAMN02261405	isolation_source	isolation_source	Groundwater contaminated with aromatic compounds from motor fuel in sandy soil from Eden Hill, Swan Coastal Plain, Perth, Western Australia
RSGB23-1_GCA-000231405-V3_GENO_10000001	GCA_000231405.3	SAMN02261393	environment	environment	Host
RSGB23-1_GCA-000231405-V3_GENO_10000001	GCA_000231405.3	SAMN02261393	isolation_source	isolation_source	Aquifer sediment (uranium-contaminated)
RSGB23-1_GCA-000233695-V3_GENO_10000001	GCA_000233695.3	SAMN02261381	environment	environment	Brackish water, Sediment
RSGB23-1_GCA-000233695-V3_GENO_10000001	GCA_000233695.3	SAMN02261381	isolation_source	isolation_source	anaerobic sediment of brackish water ditch near Jadebusen, North Sea, Germany
RSGB23-1_GCA-000233715-V3_GENO_10000001	GCA_000233715.3	SAMN02598540	environment	environment	Animal intestinal microflora, Fresh water, Mud, Sea water, Soil
RSGB23-1_GCA-000233715-V3_GENO_10000001	GCA_000233715.3	SAMN02598540	isolation_site	Isolation Site	freshwater mud
RSGB23-1_GCA-000233715-V3_GENO_10000001	GCA_000233715.3	SAMN02598540	isolation_source	isolation_source	freshwater mud
RSGB23-1_GCA-000234355-V2_GENO_10000001	GCA_000234355.2	SAMN02470912	host	host	Drosophila
RSGB23-1_GCA-000234355-V2_GENO_10000001	GCA_000234355.2	SAMN02470912	isolation_source	isolation_source	Drosophila gut
RSGB23-1_GCA-000235725-V2_GENO_10000001	GCA_000235725.2	SAMN02471546	isolation_source	isolation_source	soil of a gold mine
RSGB23-1_GCA-000236565-V2_GENO_10000001	GCA_000236565.2	SAMN02470709	host	host	Alhagi sparsifolia
RSGB23-1_GCA-000236565-V2_GENO_10000001	GCA_000236565.2	SAMN02470709	isolation_source	isolation_source	symbiotic root nodules on Alhagi sparsifolia from desert of northwest China
RSGB23-1_GCA-000238295-V4_GENO_10000001	GCA_000238295.4	SAMN03380246	env_broad_scale	env_broad_scale	water
RSGB23-1_GCA-000238295-V4_GENO_10000001	GCA_000238295.4	SAMN03380246	env_local_scale	env_local_scale	seawater
RSGB23-1_GCA-000238295-V4_GENO_10000001	GCA_000238295.4	SAMN03380246	env_medium	env_medium	seawater
RSGB23-1_GCA-000238375-V4_GENO_10000001	GCA_000238375.4	SAMN03380236	env_broad_scale	env_broad_scale	water
RSGB23-1_GCA-000238375-V4_GENO_10000001	GCA_000238375.4	SAMN03380236	env_local_scale	env_local_scale	seawater
RSGB23-1_GCA-000238375-V4_GENO_10000001	GCA_000238375.4	SAMN03380236	env_medium	env_medium	seawater
RSGB23-1_GCA-000239155-V2_GENO_10000001	GCA_000239155.2	SAMN02470010	isolation_source	isolation_source	soil from cold desert of the Indian Himalayas
RSGB23-1_GCA-000240225-V2_GENO_10000001	GCA_000240225.2	SAMN02391504	isolation_source	isolation_source	activated sludge with ibuprofen degradation capacity
RSGB23-1_GCA-000242255-V3_GENO_10000001	GCA_000242255.3	SAMN02261415	environment	environment	Host
RSGB23-1_GCA-000242255-V3_GENO_10000001	GCA_000242255.3	SAMN02261415	host	host	Lilium auratum
RSGB23-1_GCA-000242255-V3_GENO_10000001	GCA_000242255.3	SAMN02261415	isolation_source	isolation_source	Lilium auratum flower, Japan
RSGB23-1_GCA-000242595-V3_GENO_10000001	GCA_000242595.3	SAMN02232053	environment	environment	Alkaline salt lakes, Fresh water
RSGB23-1_GCA-000242595-V3_GENO_10000001	GCA_000242595.3	SAMN02232053	isolation_site	Isolation Site	Bacterial bloom in the brine under trona from alkaline equatorial Lake Magadi in Kenya
RSGB23-1_GCA-000242595-V3_GENO_10000001	GCA_000242595.3	SAMN02232053	isolation_source	isolation_source	bacterial bloom in the brine under trona from alkaline equatorial lake
RSGB23-1_GCA-000242615-V3_GENO_10000001	GCA_000242615.3	SAMN02256516	environment	environment	Mud
RSGB23-1_GCA-000242615-V3_GENO_10000001	GCA_000242615.3	SAMN02256516	isolation_source	isolation_source	black anoxic freshwater mud; Germany
RSGB23-1_GCA-000242635-V3_GENO_10000001	GCA_000242635.3	SAMN02232052	environment	environment	Soil
RSGB23-1_GCA-000242635-V3_GENO_10000001	GCA_000242635.3	SAMN02232052	isolation_site	Isolation Site	soil, Ottawa, Canada
RSGB23-1_GCA-000242635-V3_GENO_10000001	GCA_000242635.3	SAMN02232052	isolation_source	isolation_source	soil
RSGB23-1_GCA-000242815-V2_GENO_10000001	GCA_000242815.2	SAMN02470164	isolation_source	isolation_source	glacier's cryoconite from Alps mountain
RSGB23-1_GCA-000243115-V3_GENO_10000001	GCA_000243115.3	SAMN02261390	environment	environment	Soil
RSGB23-1_GCA-000243115-V3_GENO_10000001	GCA_000243115.3	SAMN02261390	isolation_source	isolation_source	Soil, Jeju Island, Republic of Korea
RSGB23-1_GCA-000243135-V3_GENO_10000001	GCA_000243135.3	SAMN02232012	environment	environment	Soil
RSGB23-1_GCA-000243135-V3_GENO_10000001	GCA_000243135.3	SAMN02232012	isolation_site	Isolation Site	Soil matrix of an anoxic water-saturated layer (1 m in depth) that had been exclusively polluted with 1,2-DCA.
RSGB23-1_GCA-000243135-V3_GENO_10000001	GCA_000243135.3	SAMN02232012	isolation_source	isolation_source	soil matrix of an anoxic water-saturated layer (1 m in depth) that had been exclusively polluted with 1,2-DCA.
RSGB23-1_GCA-000243395-V3_GENO_10000001	GCA_000243395.3	SAMN02441787	isolation_source	isolation_source	composted garbage
RSGB23-1_GCA-000243415-V3_GENO_10000001	GCA_000243415.3	SAMN02256521	environment	environment	Groundwater contaminated with organochlorines
RSGB23-1_GCA-000243415-V3_GENO_10000001	GCA_000243415.3	SAMN02256521	isolation_source	isolation_source	granular activated carbon
RSGB23-1_GCA-000243455-V2_GENO_10000001	GCA_000243455.2	SAMN02261372	environment	environment	Hydrothermal vent
RSGB23-1_GCA-000243455-V2_GENO_10000001	GCA_000243455.2	SAMN02261372	isolation_source	isolation_source	Black smoker chimney at the Kairei field in the Central Indian Ridge, Indian Ocean
RSGB23-1_GCA-000243715-V3_GENO_10000001	GCA_000243715.3	SAMN02436587	host	host	Homo sapiens
RSGB23-1_GCA-000246735-V1_GENO_10000001	GCA_000246735.1	SAMN41054740	env_broad_scale	env_broad_scale	aquatic
RSGB23-1_GCA-000246735-V1_GENO_10000001	GCA_000246735.1	SAMN41054740	env_local_scale	env_local_scale	Puget Sound
RSGB23-1_GCA-000246735-V1_GENO_10000001	GCA_000246735.1	SAMN41054740	env_medium	env_medium	surface water
RSGB23-1_GCA-000246735-V1_GENO_10000001	GCA_000246735.1	SAMN41054740	isolation_source	isolation_source	surface seawater, Puget Sound
RSGB23-1_GCA-000247475-V2_GENO_10000001	GCA_000247475.2	SAMN02470738	host	host	Populus deltoides
RSGB23-1_GCA-000247475-V2_GENO_10000001	GCA_000247475.2	SAMN02470738	isolation_source	isolation_source	root
RSGB23-1_GCA-000247645-V2_GENO_10000001	GCA_000247645.2	SAMN02470161	isolation_source	isolation_source	soil
RSGB23-1_GCA-000247775-V2_GENO_10000001	GCA_000247775.2	SAMN02471359	host	host	Homo sapiens
RSGB23-1_GCA-000247775-V2_GENO_10000001	GCA_000247775.2	SAMN02471359	isolation_source	isolation_source	human milk from Spanish woman
RSGB23-1_GCA-000250735-V2_GENO_10000001	GCA_000250735.2	SAMN02471584	isolation_source	isolation_source	oil reservoir produced water
RSGB23-1_GCA-000252125-V2_GENO_10000001	GCA_000252125.2	SAMN02471905	isolation_source	isolation_source	sea ice
RSGB23-1_GCA-000255115-V3_GENO_10000001	GCA_000255115.3	SAMN02232014	environment	environment	Acid mine, Fresh water, Mud, Sea water, Soil
RSGB23-1_GCA-000255115-V3_GENO_10000001	GCA_000255115.3	SAMN02232014	isolation_site	Isolation Site	Acid mining effluent decantation pond; France, Chessy les Mines.
RSGB23-1_GCA-000255115-V3_GENO_10000001	GCA_000255115.3	SAMN02232014	isolation_source	isolation_source	acid mining effluent decantation pond
RSGB23-1_GCA-000255555-V2_GENO_10000001	GCA_000255555.2	SAMN02261376	environment	environment	Host
RSGB23-1_GCA-000255555-V2_GENO_10000001	GCA_000255555.2	SAMN02261376	host	host	Bovine
RSGB23-1_GCA-000255555-V2_GENO_10000001	GCA_000255555.2	SAMN02261376	isolation_source	isolation_source	Bovine rumen
RSGB23-1_GCA-000264605-V3_GENO_10000001	GCA_000264605.3	SAMEA2272694	isolation_source	isolation_source	surface water of the Gulf of Maine
RSGB23-1_GCA-000332415-V2_GENO_10000001	GCA_000332415.2	SAMN02436408	host	host	Equus ferus caballus
RSGB23-1_GCA-000403215-V2_GENO_10000001	GCA_000403215.2	SAMN01730988	host	host	Mouse
RSGB23-1_GCA-000403215-V2_GENO_10000001	GCA_000403215.2	SAMN01730988	isolation_source	isolation_source	Ceca
RSGB23-1_GCA-000403255-V2_GENO_10000001	GCA_000403255.2	SAMN01730990	host	host	Mouse
RSGB23-1_GCA-000403255-V2_GENO_10000001	GCA_000403255.2	SAMN01730990	isolation_source	isolation_source	Ceca
RSGB23-1_GCA-000403275-V2_GENO_10000001	GCA_000403275.2	SAMN01730991	host	host	Mouse
RSGB23-1_GCA-000403275-V2_GENO_10000001	GCA_000403275.2	SAMN01730991	isolation_source	isolation_source	Ceca
RSGB23-1_GCA-000452785-V2_GENO_10000001	GCA_000452785.2	SAMN02471555	isolation_source	isolation_source	Dodecantheon pulchellum
RSGB23-1_GCA-000495595-V3_GENO_10000001	GCA_000495595.3	SAMN15031632	isolation_source	isolation_source	pink berry consortia
RSGB23-1_GCA-000495595-V3_GENO_10000001	GCA_000495595.3	SAMN15031632	sample_type	sample_type	metagenomic assembly
RSGB23-1_GCA-000559085-V2_GENO_10000001	GCA_000559085.2	SAMN02585141	isolation_source	isolation_source	soil
RSGB23-1_GCA-000688775-V2_GENO_10000001	GCA_000688775.2	SAMN02401018	host	host	Homo sapiens
RSGB23-1_GCA-000688775-V2_GENO_10000001	GCA_000688775.2	SAMN02401018	isolation_source	isolation_source	saliva
RSGB23-1_GCA-000690595-V2_GENO_10000001	GCA_000690595.2	SAMN02390968	isolation_source	isolation_source	solar saltern
RSGB23-1_GCA-000715685-V1_GENO_10000001	GCA_000715685.1	SAMN02645295	isolation_source	isolation_source	soil
RSGB23-1_GCA-000715855-V1_GENO_10000001	GCA_000715855.1	SAMN02645314	isolation_source	isolation_source	garden soil
RSGB23-1_GCA-000716085-V1_GENO_10000001	GCA_000716085.1	SAMN02645362	isolation_source	isolation_source	ocean water
RSGB23-1_GCA-000717475-V2_GENO_10000001	GCA_000717475.2	SAMN02886980	env_broad_scale	env_broad_scale	mud, water
RSGB23-1_GCA-000717475-V2_GENO_10000001	GCA_000717475.2	SAMN02886980	env_local_scale	env_local_scale	Hypersaline, hyperalkaline lake
RSGB23-1_GCA-000717475-V2_GENO_10000001	GCA_000717475.2	SAMN02886980	env_medium	env_medium	mud, water
RSGB23-1_GCA-000746585-V2_GENO_10000001	GCA_000746585.2	SAMN02943453	env_broad_scale	env_broad_scale	Western Amazon
RSGB23-1_GCA-000746585-V2_GENO_10000001	GCA_000746585.2	SAMN02943453	env_local_scale	env_local_scale	jungle
RSGB23-1_GCA-000746585-V2_GENO_10000001	GCA_000746585.2	SAMN02943453	env_medium	env_medium	Amblyomma Tick
RSGB23-1_GCA-000746585-V2_GENO_10000001	GCA_000746585.2	SAMN02943453	host	host	Amblyomma cajennense
RSGB23-1_GCA-000759655-V1_GENO_10000001	GCA_000759655.1	SAMN02980076	isolation_source	isolation_source	acid mine drainage
RSGB23-1_GCA-000765675-V2_GENO_10000001	GCA_000765675.2	SAMN03075559	host	host	wild mouse
RSGB23-1_GCA-000765675-V2_GENO_10000001	GCA_000765675.2	SAMN03075559	isolation_source	isolation_source	cecum
RSGB23-1_GCA-000765675-V2_GENO_10000001	GCA_000765675.2	SAMN03075559	sample_type	sample_type	pure culture
RSGB23-1_GCA-000785145-V2_GENO_10000001	GCA_000785145.2	SAMN03165106	env_broad_scale	env_broad_scale	Cold Seep
RSGB23-1_GCA-000785145-V2_GENO_10000001	GCA_000785145.2	SAMN03165106	host	host	Provanna laevis
RSGB23-1_GCA-000785145-V2_GENO_10000001	GCA_000785145.2	SAMN03165106	isolation_source	isolation_source	single-cell amplified by MDA; shell-attached epibiont of snail collected from Methane Seep Snail Community; sample contaminated with other organisms due to its size (approx. 1mm to 2 microns)
RSGB23-1_GCA-000785145-V2_GENO_10000001	GCA_000785145.2	SAMN03165106	sample_type	sample_type	single-cell
RSGB23-1_GCA-000802205-V2_GENO_10000001	GCA_000802205.2	SAMN03074222	isolation_source	isolation_source	contaminated soil
RSGB23-1_GCA-000808095-V1_GENO_10000001	GCA_000808095.1	SAMN03166165	env_broad_scale	env_broad_scale	Valdivian temperate rain forest
RSGB23-1_GCA-000808095-V1_GENO_10000001	GCA_000808095.1	SAMN03166165	host	host	Ixodes stilesi collected from Oligoryzomys longicaudatus
RSGB23-1_GCA-000808095-V1_GENO_10000001	GCA_000808095.1	SAMN03166165	isolation_source	isolation_source	San Martin Experimental Foresst Preserve
RSGB23-1_GCA-000808095-V1_GENO_10000001	GCA_000808095.1	SAMN03166165	sample_type	sample_type	Mixed culture
RSGB23-1_GCA-000955905-V3_GENO_10000001	GCA_000955905.3	SAMN03286947	isolation_source	isolation_source	wastewater treatment plant
RSGB23-1_GCA-000955905-V3_GENO_10000001	GCA_000955905.3	SAMN03286947	sample_type	sample_type	cell culture
RSGB23-1_GCA-000963755-V3_GENO_10000001	GCA_000963755.3	SAMN03421191	isolation_source	isolation_source	enrichment culture from tropical Atlantic Ocean
RSGB23-1_GCA-000963755-V3_GENO_10000001	GCA_000963755.3	SAMN03421191	sample_type	sample_type	enrichment culture
RSGB23-1_GCA-000965745-V1_GENO_10000001	GCA_000965745.1	SAMN02940502	env_broad_scale	env_broad_scale	Farmland
RSGB23-1_GCA-000965745-V1_GENO_10000001	GCA_000965745.1	SAMN02940502	env_local_scale	env_local_scale	Farmland
RSGB23-1_GCA-000965745-V1_GENO_10000001	GCA_000965745.1	SAMN02940502	env_medium	env_medium	Clay
RSGB23-1_GCA-001012825-V2_GENO_10000001	GCA_001012825.2	SAMN03372544	env_broad_scale	env_broad_scale	hydrocarbon contaminated soil
RSGB23-1_GCA-001012825-V2_GENO_10000001	GCA_001012825.2	SAMN03372544	env_local_scale	env_local_scale	pilot plant
RSGB23-1_GCA-001012825-V2_GENO_10000001	GCA_001012825.2	SAMN03372544	env_medium	env_medium	soil
RSGB23-1_GCA-001012825-V2_GENO_10000001	GCA_001012825.2	SAMN03372544	isolation_source	isolation_source	hydrocarbon contaminated soil
RSGB23-1_GCA-001045575-V1_GENO_10000001	GCA_001045575.1	SAMN03764750	host	host	Psychotria pumila
RSGB23-1_GCA-001045575-V1_GENO_10000001	GCA_001045575.1	SAMN03764750	isolation_source	isolation_source	leaf nodules
RSGB23-1_GCA-001045575-V1_GENO_10000001	GCA_001045575.1	SAMN03764750	sample_type	sample_type	mixed culture
RSGB23-1_GCA-001050235-V2_GENO_10000001	GCA_001050235.2	SAMD00034889	env_broad_scale	env_broad_scale	cropland biome
RSGB23-1_GCA-001050235-V2_GENO_10000001	GCA_001050235.2	SAMD00034889	env_local_scale	env_local_scale	paddy field
